SurveyName,Surveyyear,Season,ID,Intid,Strat,Stratname,Selected,Counted,UnitID,GMU,U17A,U17TNWR,U18GNS,U18KANAROL,U18TNWR,AreaMi,centrlat,centrlon,adult,calf,unknown,datecounted,searchmin,comments,,,
TOGIAK NWR MAR 2017,2017,spring,5922-16005,547,H,HIGH,0,0,5922-16005,17A,1,1,0,0,0,6.791,59.3833,-160.1250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-16000,548,H,HIGH,0,0,5922-16000,17A,1,1,0,0,0,6.791,59.3833,-160.0417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-15955,549,H,HIGH,0,0,5922-15955,17A,1,1,0,0,0,6.791,59.3833,-159.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-15950,550,H,HIGH,0,0,5922-15950,17A,1,1,0,0,0,6.791,59.3833,-159.8750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-15945,551,H,HIGH,0,0,5922-15945,17A,1,1,0,0,0,6.791,59.3833,-159.7917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-15940,552,H,HIGH,1,1,5922-15940,17A,1,1,0,0,0,6.791,59.3833,-159.7083,0,0,0,3/13/17,24,,,,
TOGIAK NWR MAR 2017,2017,spring,5922-15935,553,H,HIGH,0,0,5922-15935,17A,1,1,0,0,0,6.791,59.3833,-159.6250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5920-16055,572,H,HIGH,1,1,5920-16055,18,0,0,1,0,1,6.798,59.3500,-160.9583,3,2,0,3/13/17,22,,,,
TOGIAK NWR MAR 2017,2017,spring,5920-16040,575,H,HIGH,1,1,5920-16040,18,0,0,1,0,1,6.798,59.3500,-160.7083,0,0,0,3/13/17,15,,,,
TOGIAK NWR MAR 2017,2017,spring,5920-16015,580,H,HIGH,1,1,5920-16015,17A,1,1,0,0,0,6.798,59.3500,-160.2917,7,3,0,3/12/17,20,,,,
TOGIAK NWR MAR 2017,2017,spring,5920-16010,581,H,HIGH,1,1,5920-16010,17A,1,1,0,0,0,6.798,59.3500,-160.2083,29,3,0,3/12/17,24,,,,
TOGIAK NWR MAR 2017,2017,spring,5920-16005,582,H,HIGH,1,1,5920-16005,17A,1,1,0,0,0,6.798,59.3500,-160.1250,7,3,0,3/14/17,29,,,,
TOGIAK NWR MAR 2017,2017,spring,5920-16000,583,H,HIGH,0,0,5920-16000,17A,1,1,0,0,0,6.798,59.3500,-160.0417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5920-15905,594,H,HIGH,1,1,5920-15905,17C,0,1,0,0,0,6.798,59.3500,-159.1250,5,0,1,3/11/17,22,,,,
TOGIAK NWR MAR 2017,2017,spring,5918-16145,597,H,HIGH,1,1,5918-16145,18,0,0,0,1,1,6.804,59.3167,-161.7917,1,0,0,3/14/17,16,,,,
TOGIAK NWR MAR 2017,2017,spring,5918-16105,605,H,HIGH,0,0,5918-16105,18,0,0,1,0,1,6.804,59.3167,-161.1250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5918-16100,606,H,HIGH,1,1,5918-16100,18,0,0,1,0,1,6.804,59.3167,-161.0417,8,3,0,3/14/17,43,,,,
TOGIAK NWR MAR 2017,2017,spring,5918-16015,615,H,HIGH,1,1,5918-16015,17A,1,1,0,0,0,6.804,59.3167,-160.2917,5,3,0,3/12/17,31,,,,
TOGIAK NWR MAR 2017,2017,spring,5918-16000,618,H,HIGH,0,0,5918-16000,17A,1,1,0,0,0,6.804,59.3167,-160.0417,0,0,0,,,,,,
